Food_Code,Food_Name,Scientific_Name,Local_Name_Assamese,Local_Name_Bengali,Local_Name_English,Local_Name_Gujarati,Local_Name_Hindi,Local_Name_Kannada,Local_Name_Kashmiri,Local_Name_Khasi,Local_Name_Konkani,Local_Name_Malayalam,Local_Name_Manipuri,Local_Name_Marathi,Local_Name_Nepali,Local_Name_Oriya,Local_Name_Punjabi,Local_Name_Sanskrit,Local_Name_Tamil,Local_Name_Telugu,Local_Name_Urdu,Local_Name_Common_Name,Food_Group,Tags,OWL_Category
F016,Water Chestnut,Eleocharis dulcis,Pani singora,Pani phal,NA,Shingoda,NA,NA,Goer,NA,NA,Karimpolam,Kaothum,Shingara,NA,Pani singhara,Shingada,NA,Singhara,Kubyakam.,NA,NA,Roots and Tubers,vegetarian eggetarian fishetarian veg,BulbAndStemVegetables
F017,"Yam, elephant",Amorphophallus campanulatus,Ol kachu,Ol,Elephant foot yam,Suran,Zimikandha,Suvarna gadda,NA,Shriew hati,NA,Chena,Haa,Suran,NA,Suran,Zimikand,NA,Karunai kizhangu,Kandha dumpa.,NA,NA,Roots and Tubers,vegetarian eggetarian fishetarian veg,RootAndTuberousVegetables
F018,"Yam, ordinary",Amorphophallus campanulatus,Kath aloo,Gherkochoo,White yam,Ratadu,Sooran,Suvarna gadda,NA,Shriew jrong,NA,Chena,Haa,Goradu,Pidaloo,Khamba alu,NA,Aalu,Karunai kizhangu,Durdakandagadda.,NA,NA,Roots and Tubers,vegetarian eggetarian fishetarian veg,RootAndTuberousVegetables
F019,"Yam, wild",Dioscorea versicolor,Jongoli kosu,Ranga alu,NA,Ratadu,Suaralu,Hegganasu,NA,Shriew lieh,NA,Kattuchena,Haa,Suran,NA,NA,NA,NA,Kodi kizhangu,Chedu paddu dumpa.,NA,NA,Roots and Tubers,vegetarian eggetarian fishetarian veg,RootAndTuberousVegetables
G001,"Chillies, green-1",Capsicum annum,Kesa jalakia,NA,Chili pepper,Lila marcha,Hara Mirchi,Hasi Menasinakayi,Marach wangun,Sohmynken heh,NA,Mulaku,Morok,Mulaku,Hariyo khursani,Kancha Lanka,Hara mirchi,Marichika,Pachhai milagai,Pacchi Mirapakaya,Hara mirchi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,ChilliesAndCapsicums
G002,"Chillies, green-2",Capsicum annum,Kesa jalakia,NA,Chili pepper,Lila marcha,Hara Mirchi,Hasi Menasinakayi,Marach wangun,Soh mynken dkhar,NA,Mulaku,Morok,Mulaku,Hariyo khursani,Kancha Lanka,Hara mirchi,Marichika,Pachhai milagai,Pacchi Mirapakaya,Hara mirchi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,ChilliesAndCapsicums
G003,"Chillies, green-3",Capsicum annum,Kesa jalakia,NA,Chili pepper,Lila marcha,Hara Mirchi,Hasi Menasinakayi,Marach wangun,Soh mynken dkhar,NA,Mulaku,Morok,Mulaku,Hariyo khursani,Kancha Lanka,Hara mirchi,Marichika,Pachhai milagai,Pacchi Mirapakaya,Hara mirchi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,ChilliesAndCapsicums
G004,"Chillies, green-4",Capsicum annum,Kesa jalakia,NA,Chili pepper,NA,Hara Mirchi,Hasi Menasinakayi,Marach wangun,Soh mynken dkhar,NA,Mulaku,Morok,Mulaku,Hariyo khursani,Kancha Lanka,Hara mirchi,Marichika,Pachhai milagai,Pacchi Mirapakaya,Hara mirchi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,ChilliesAndCapsicums
G005,"Chillies, green-5",Capsicum annum,Kesa jalakia,NA,Chili pepper,Vadhvani marcha,Hara Mirchi,Hasi Menasinakayi,Marach wangun,Soh mynken dkhar,NA,Mulaku,Morok,Mulaku,Hariyo khursani,Kancha Lanka,Hara mirchi,Marichika,Pachhai milagai,Pacchi Mirapakaya,Hara mirchi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,ChilliesAndCapsicums
G006,"Chillies, green-6",Capsicum annum,Kesa jalakia,NA,Chili pepper,Lila marcha,Hara Mirchi,Hasi Menasinakayi,Marach wangun,Soh mynken dkhar,NA,Mulaku,Morok,Mulaku,Hariyo khursani,Kancha Lanka,Hara mirchi,Marichika,Pachhai milagai,Pacchi Mirapakaya,Hara mirchi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,ChilliesAndCapsicums
G007,"Chillies, green-7",Capsicum annum,Kesa jalakia,NA,Chili pepper,Gola marcha,Hara Mirchi,Hasi Menasinakayi,Marach wangun,Soh mynken beb,NA,Mulaku,Morok,Mulaku,Hariyo khursani,Kancha Lanka,Hara mirchi,Marichika,Pachhai milagai,Pacchi Mirapakaya,Hara mirchi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,ChilliesAndCapsicums
G008,"Chillies, green - all varieties",Capsicum annum,Kesa jalakia,NA,Chili pepper,NA,Hara Mirchi,Hasi Menasinakayi,Marach wangun,Soh mynken dkhar,NA,Mulaku,Morok,Mulaku,Hariyo khursani,Kancha Lanka,Hara mirchi,Marichika,Pachhai milagai,Pacchi Mirapakaya,Hara mirchi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,ChilliesAndCapsicums
G009,Coriander leaves,Coriandrum sativum,Dhania paat,Dhone pata,Cilantro,Dhana pandada,Hara dhania,Kothambari,Daaniwal,Dhonia dkhar,NA,Kothamalli,Fadhighom Mana,Kothimbir,Hario Dhaniya,Dhania Patra,Hara dhaniya patta,NA,Kothamalli,Kothimiri,Hara dhaniya.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,LeafySaladAndSeaVegetables
G010,Curry leaves,Murraya koenigii,Narasingha paat,Karhi-pat,Sweet Neem leaves,Kadi umdo,Gandhela,Karibevu,Curry patta,Sla Kori,NA,Kariveppilai,Curry Pata,Gandhela,Kary patta,Bhursanga Patra,Kadhi patta,Girinimba,Kariveppilai,Karivepaku,Kadi ka patta.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,LeafySaladAndSeaVegetables
G011,"Garlic, big clove",Allium sativum,Nohoru,Rashun,NA,Lasan,Lehsan,Bellulli,Ruhan,Rynsun heh/ Rynsun dkhar,NA,Vellulli,Chanam,Lasoon,Lasun,Rasuna,Lasan,Lashoonam,Poondu,Vellulli,Laisan.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,BulbAndStemVegetables
G012,"Garlic, small clove",Allium sativum,Nohoru,Rashun,NA,Lasan,Lehsan,Bellulli,Ruhan,Rynsun rit,NA,Vellulli,Chanam,Lasoon,Lasun,Rasuna,Lasan,Lashoonam,Poondu,Vellulli,Laisan.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,BulbAndStemVegetables
G013,"Garlic, single clove, Kashmir",Allium sativum,Nohoru,Ek koya Rashun,NA,Lasan,Lehsan,Bellulli,Ruhan,Rynsun,NA,Vellulli,Chanam,Lasoon,Lasun,Rasuna,Lasan,Lashoonam,Ottrai poondu,Vellulli,Laisan.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,BulbAndStemVegetables
G014,"Ginger, fresh",Zinziber officinale,Ada kesa,Ada,NA,Adu,Adrak,Shunti,Adrak,Sying bah,NA,Inji,Sing,Ale,Aduwa,Ada,Adrak,Aadrak,Inji,Allam,Adrak.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,RootAndTuberousVegetables
G015,Mango ginger,Curcuma amada,Aam ada,Amada,NA,Amba Hardar,Aam adhrak,Mavina hasi sunthi,Adrak,Sying makhir,NA,Mangainji,NA,Amba haldi,NA,NA,Aam adrak,NA,Mainji,Mamidiallam,Aam adrak.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,RootAndTuberousVegetables
G016,Mint leaves,Mentha spicata,Podina,Pudina,Mentha,Phudino,Pudina,Pudina,Pudinth,Pudina,NA,Pudina,Nungsihidak,Pudina,Baabari,Pudina Patra,Pudina,NA,Pudina,Pudina,Pudina.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,LeafySaladAndSeaVegetables
G017,"Onion, big",Allium cepa,Piyanj,Peyaj,Bulb onion,Kando,Pyaz,Eerulli,Gandha,Piat,NA,Ulli,Tilhou,Kanda,Pyaj,Piaja,Gandhe,Palaanduh,Vengayam,Neerulli/Ullipaya,Pyaaz.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,BulbAndStemVegetables
G018,"Onion, small",Allium cepa,Xoru Piyanj,Gundhun,Bulb onion,Dungri (nani),Pyaaz Kali,Chikk Eerulli,Praan,Piat rit,NA,Cheriya Ulli,Tilhou,Kanda,Chayapi,NA,Gandhe,NA,Chinna vengayam,Chinna ullipaya,Pyaaz.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,BulbAndStemVegetables
G019,Asafoetida,Ferula assa-foetida,Hing,Hing,Food of the Gods,Hing,Hing,Hingu,Yangu,U hing,NA,Perungayam,Hing,Hing,Hing,Hingu,Hing,Badhika,Perugayam,Inguva,Hing.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,HerbsAndSpices
G020,"Cardamom, green",Elettaria cardamomum,Ilasi,Elach,True cardamom,Alechi,Elaychi,Yelakki,Aa’l budu’a aa’ l,Elaishi,NA,Elakkai,Elaichi,Veldoda,Alaichi,Alaichi,Shoti elaychi,Ela,Elakkai,Elakkai,Elaichi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,HerbsAndSpices
G021,"Cardamom, black",Elettaria cardamomum,Ilasi,Boro elach,Hill cardamom,Moti alechi,Badi elaychi,Yelakki,Aa’l budu’a aa’ l,Elaichi,NA,Elathari,Elaichi,Veldoda,Alaichi,Alaichi,Baddi elaychi,Ela,Elakkai,Elakkai,Elaichi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,HerbsAndSpices
G022,"Chillies, red",Capsicum annum,Sukan jolokia,Shuckhuo Lonka,Red chilli pepper,Lal marcha (sukha),Mirchi,Ona Menasinakayi,NA,Sohmynken trykhong,NA,Mulaku,Morok Akangba,Mulaku,Rato Khursani,Lanka,Lal mircha,NA,Varamilagai,Mirapakaya,Lal mirchi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,ChilliesAndCapsicums
G023,Cloves,Syzygium aromaticum,Long,Lobong,NA,Lavang,Lavang,Lavanga,Ruang,U long,NA,Krambu,Long,Lavang,Luwang,Labang,Long,Lavanga,Krambu,Lavangu,Long.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,HerbsAndSpices
G024,Coriander seeds,Coriandrum sativum,Dhoniya,Dhone,Cilantro seeds,Sukha dhana,Dhania,Kothambari,Daaniwal,Symbai dhania,NA,Kothambalari,Fadhighom Maru,Dhane,Dhania,Dhania,Dhania,Dhanyaka,Kothamalli vidhai,Dhaniyalu,Dhaniya.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,NutsAndSeeds
G025,Cumin seeds,Cuminum cyminum,Jeera,Jire,NA,Jiru,Jira,Jeerage,Zyur,U jeera,NA,Jeerakam,Jeera,Jira,Jeera,Jira,Jira,Jiraka,Jeerakam,Jeelakarra,Jira.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,NutsAndSeeds
G026,Fenugreek seeds,Trigonella foenum graecum,Methi,Methi,NA,Methi dana,Methi,Menthe,Meeth,Symbai methi,NA,Uluva,Methi,Methi,Methi,Methi,Methi,Methe,Venthayam,Menthulu,Methi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,NutsAndSeeds
G027,Mace,Myristica fragrans,NA,Jayitri,Nutmeg,Javantri,Avithri,Jalwatur,Jalwatur,NA,NA,Jathipatri,NA,Jaypatri,NA,Jayitri,Jaipatri,NA,Jathipatri,Japathri,Javantri.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,HerbsAndSpices
G028,Nutmeg,Myristica fragrans,Jaiphal,Jayphal,Fragrant nutmeg,Jayaphad,Jaiphal,Jayikayi mara,Zaaphal,NA,NA,Jathikai,NA,Jayaphala,Jaiphal,Jaiphal,Jaiphal,Jatiphala,Jathikai,Jajikaya,Jaifal.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,NutsAndSeeds
G029,Omum,Trachyspermum ammi,Ajwain,Joan,Ajwain,Ajmo,Ajwan,Oma,Jawind,Paspron,NA,Ayamothakam,NA,Onva,NA,Juani,Ajwain,Ajamoda,Omum,Vamu,Ajwain.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,HerbsAndSpices
G030,Pippali,Piper longum,NA,Pipul,Long pepper,Khus khus,Pipli,Kandan Lippili,NA,Sohmarit khlaw,NA,Tippali,NA,Pimpli,NA,Sarupippali,Javantri,Pippali,Tippili,Pippallu,Pipul.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,HerbsAndSpices
G031,"Pepper, black",Piper nigrum,Kola jaluk,Golmarichi,Peppercorn,Mari,Kalimirchi,Kari menasu,Marutus,Soh marit,NA,Kurumlaku,NA,Mire,Marich,Golomarcho,Kalimirchi,Marich ushna,Milagu,Mirayalu,Kaali Mirch.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,NutsAndSeeds
G032,Poppy seeds,Papaver somniferum,Afoo guti,Posta,NA,Aphina,Postdana,Afim,Khaskhash,NA,NA,Afiam,NA,Khaskhas,Khus Khus,Postak,Khas Khas,Khasa,Khasakhasa,Gasagasalu,Khash Khash.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,NutsAndSeeds
G033,Turmeric powder,Curcuma domestica,Halodhi,Holud,NA,Haddar,Haldi,Anashina,Lader,Shynrai,NA,Manjal,Yaingang,Halad,Besar,Haladi,Haldi,Haladi,Manjal,Pasupu,Haldi.,NA,Condiments and Spices,vegetarian eggetarian fishetarian veg,HerbsAndSpices
H001,Almond,Prunus amygdalus,China badam,Badam,NA,Badam,Badam,Badam,Badam,Almon,NA,Vatam kottai,Badam,Badam,Kagji Badam,Badam,Badam,NA,Badam paruppu,Badam Pappu,Badam.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H002,"Arecanut, dried, brown",Areca catechu,Sufari,Supari,Areca nut,Sopari,Supari,Adike,Supari,Kwai tyrkhong,NA,Adakka,Kwa Maru,Supari,Supari,Gua,Supari,Puuga,Kottai paakku,Vakka,Supari.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H003,"Arecanut, dried, red color",Areca catechu,Sufari,Supari,Areca nut,Sopari,Supari,Adike,Supaari,Kwai supari,NA,Adakka,Kwa Maru,Supari,Supari,Gua,Supari,Puuga,Paakku,Vakka,Supari.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H004,"Arecanut, fresh",Areca catechu,Kesa tamul,Supari,Areca nut,Sopari,Supari,Adike,Supaari,Kwai im,NA,Adakka,Kwa Maru,Supari,Supari,Gua,Supari,Puuga,Paakku,Vakka,Supari.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H005,Cashew nut,Anacardium occidentale,Kaju badam,Hijli Badam,NA,Kaju,Kaju,Geru beeja,Kaju,Soh kashu,NA,Kasu andi,Kaju,Kaju,Kaju,Lanka ambu,Kaju,NA,Mundiri paruppu,Jeedi pappu,Kaju.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H006,"Coconut, kernal, dry",Cocos nucifera,Dab narikol,Narkel,NA,Kopra ni kachli,Nariyal,Thengini kai,Narjil,Snep kor trykhong,NA,Thenga,Yubi Akangba,Narel,NA,Nadia,Gola,NA,Kopparai,Endu Kobbari,Khopra.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H007,"Coconut, kernel, fresh",Cocos nucifera,Narikol,Narkel,NA,Nariyad,Nariyal,Thengina kayi,Narjeel,Snep kor im,NA,Karikku,Yubi,Narel,Naribel,Paida,Nariyal,Naarikela,Thenkai,Kobbari,Nariyel.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H008,"Garden cress, seeds",Lepidium sativum,Soru manimunni,Halim,NA,Asadiyo,Halim,Allibija,NA,NA,NA,Alivirai,NA,Ahiva,NA,NA,Halim,NA,Alivirai,Adityala.,NA,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H009,"Gingelly seeds, black",Sesamum indicum,Kola til,Til,Sesame seeds,Kada tal,Til,Acchellu,Til,Nei iong,NA,Ellu,Thoiding Amuba,Til,Teel,Rasi,Til,Til,Ellu,Nuvvulu,Til .,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H010,"Gingelly seeds, brown",Sesamum indicum,Matia rangar til,Til,Sesame seeds,Tal,Til,Acchellu,Til,Nei,NA,Ellu,Thoiding,Til,Teel,Rasi,Til,Til,Ellu,Nuvvulu,Til.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H011,"Gingelly seeds, white",Sesamum indicum,Boga til,Til,Sesame seeds,Safed tal,Til,Acchellu,Til,Nei,NA,Ellu,Thoiding Angouba,Til,Teel,Rasi,Til,Til,Ellu,Nuvvulu,Til.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H012,Ground nut,Arachis hypogea,Badam,China badam,Peanut,Singdana,Moog phali,Kadale kayi,Moong phalli,Badam,NA,Nilakkadalai,Leibak Hawai,Bhui mug,NA,China badam,Moog phali,NA,Verkadalai,Verusenaga,Moog phali.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H013,Mustard seeds,Brassica juncea,Soriyah,Sorse,NA,Rai,Rai,Sasuve,Assur,Symbai syrso,NA,Kadugu,Hangham Maru,Mohori,Rayo,Sorisa,Rai,Sarssapa,Kadugu,Avalu,Rai.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H014,Linseeds,Linum usitatissimum,NA,Tishi,Flax seeds,Adsi,Alsi,Agasi,Ailsh,NA,NA,Cheruchana vithu,NA,Jawas,NA,Pesi,Alsi,Atasii,Ali vidai,Avise ginzalu,Alsi.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H015,"Niger seeds, black",Guizotia abyssinica,Sorguja,Ram til,NA,Kada tal,Kala til,Gurellu,Bazar-Bhang,NA,NA,Karim jeerakam,NA,Karale,NA,NA,NA,NA,Kattelu,Valasulu.,NA,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H016,"Niger seeds, gray",Guizotia abyssinica,Sorguja,Ram til,NA,Tal,Kala til,Gurellu,Bazar-Bhang,NA,NA,Karim jeerakam,NA,Karale,NA,NA,NA,NA,Kattelu,Valasulu.,NA,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H017,Pine seed,Pinus gerardiana,NA,NA,Pine nut,Chilgoza,Chilgoza,NA,Chilgoza,Symbai soh kseh,NA,NA,NA,Jhurane biya,NA,NA,Rhi.,NA,NA,NA,NA,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H018,Pistachio nuts,Pistacla vera,Pista,Pesta,NA,Pista,Pista,Pista,Pista,Pista,NA,Pista,NA,Pista,Pista,Pista,Pista,NA,Pista,Pista,Pista.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H019,Safflower seeds,Carthamus tinctorius,NA,Kusum,NA,Kusumbo,Kardi,Kusambe,NA,Symbai tiew sngi,NA,Karadi,NA,Karadi,NA,NA,NA,NA,Sendurkan vidhai,Kusuma ginzalu.,NA,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H020,Sunflower seeds,Helianthus annuus,Beli phular guti,Suraj mukhi,NA,Suraj mukhi na bee,Surya mukhi,Sryakanti bijagalu,NA,Symbai tiew sngi,NA,Suryakanthi,Numitlei Maru,Surya mukhi,NA,Surjya Mukhi Manji,Suraj mukhi,NA,Suryakanthi vidhai,Podduthirugidi puvvu ginzalu.,NA,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
H021,Walnut,Juglans regia,Akhrot,Akhrot,NA,Akhrot,Akhrot,Akrodu,Dhoon,Walnut,NA,Akrottandi,Heijukha,Akhrod,Okhar,Akhoot,Akhrot,NA,Akhrot,Akrot kaya,Akhrut.,NA,Nuts and Oil Seeds,vegetarian eggetarian fishetarian veg,NutsAndSeeds
I001,"Jaggery, cane",Saccharum officinarum,Gur,Gurh,NA,God,Gud,Bella,Gor,Mithai Gur,Godd,Vellam,Chini Anganba,Gul,NA,Guda,Gud,NA,Mandavellam,Bellam,Gud.,NA,Sugars,vegetarian eggetarian fishetarian veg,Sweeteners
I002,"Sugarcane, juice",Saccharum officinarum,Kunhiyar,Akher rosh,NA,Sherdino ras,Ganne-ka-ras,Kabbina halu,Ganne rus,Soh Pai,NA,Karumbin neeru,Chuhing,Usacha rasa,NA,Aakhu Dorua,Ganne-da-ras,NA,Karumbu charu,Cheruku rasam,Ganne-ke-ras.,NA,Sugars,vegetarian eggetarian fishetarian veg,MiscellaneousPrimaryFoodCommodityFromPlantOrigin
J001,"Button mushroom, fresh",Agaricus sp.,Mushroom,Banger chata,Common mushroom,Biladi no top,NA,Aanabay/Aanabe,Hadder,Tit budam,NA,Kun koon,Chenghum,Bhoochhtra,NA,Chatu,Khoomba,NA,Kaalaan,Putta Godugu.,NA,NA,Mushrooms,vegetarian eggetarian fishetarian veg,Mushroom
J002,"Chicken mushroom, fresh",Lactiporus sp.,Mushroom,Banger chata,NA,Biladi no top,NA,Aanabay/Aanabe,Hadder,Tit tyndong,NA,Kun koon,Chenghum,Bhoochhtra,NA,Chatu,Khoomba,NA,Kaalaan,Putta Godugu.,NA,NA,Mushrooms,vegetarian eggetarian fishetarian veg,Mushroom
J003,"Shiitake mushroom, fresh",Lentinula sp.,Mushroom,Banger chata,NA,Biladi no top,NA,Aanabay/Aanabe,Hadder,NA,NA,Kun koon,Uyen,Bhoochhtra,NA,Chatu,Khoomba,NA,Kaalaan,Putta Godugu.,NA,NA,Mushrooms,vegetarian eggetarian fishetarian veg,Mushroom
J004,"Oyster mushroom, dried",Pleurotus sp.,NA,Banger chata,NA,Biladino top,NA,Aanabay/Aanabe,Hadder,NA,NA,Kun koon,Chenghum,Bhoochhtra,NA,Chatu,Khoomba,NA,Kaalaan,Putta Godugu.,NA,NA,Mushrooms,vegetarian eggetarian fishetarian veg,Mushroom
K001,Toddy,,Tari,Tari,Palm wine,Tadi,Tarai,Henda,NA,Kiad lieh,NA,NA,NA,NA,NA,Tadi,Todhi,NA,NA,Kallu.,NA,NA,Miscellaneous Foods,vegetarian eggetarian fishetarian veg,MiscellaneousPrimaryFoodCommodityFromPlantOrigin
K002,Coconut Water,,Dab narikolor pani,Daberjal,NA,Nariyad nu pani,Nariyal ka pani,Thenga neeru,Narji pooen,Um snepkor,NA,Thenga vellam,Yubi Mahi,Naral pani,NA,Paida pani,Gola da pani,NA,Ilaneer,Kobbari neeru.,NA,NA,Miscellaneous Foods,vegetarian eggetarian fishetarian veg,MiscellaneousPrimaryFoodCommodityFromPlantOrigin
L001,"Milk, whole, Buffalo",,Mohor gakhir,Dudha (Mosher),NA,Bhes nu dhudh,Bhains ka dhood,Uemma halu,Doodh,Dud muid,NA,Kerbau paal,Eroi Sanghom,Doodh (Maish),NA,Mainsi dudha,Maz da doodh,NA,Erumaipal,Gedha/Barre palu.,NA,NA,Milk and Milk Products,vegetarian eggetarian fishetarian veg,MilkBasedOrDairy
L002,"Milk, whole, Cow",,Garoor gakhir,Doodh (garu),NA,Gai nu dhudh,Gai ka doodh,Hasuvina halu,Doodh,Dud masi,NA,NA,San Sanghom,Doodh (gay),NA,Gai dudha,Gaan da doodh,Gow kshiram,Pasumpaal,Aavu paalu.,NA,NA,Milk and Milk Products,vegetarian eggetarian fishetarian veg,MilkBasedOrDairy
L003,Paneer,,Paneer,Chena,Cottage Cheese,Paneer,Chhena,Tali,Chaman,Paneer,NA,Palkatti,Channa,NA,NA,Chhena,Paneer,NA,Paladai,Paalavirugudu.,NA,NA,Milk and Milk Products,vegetarian eggetarian fishetarian veg,MilkBasedOrDairy
L004,Khoa,,Khoa,NA,NA,Mavo,NA,NA,Khoya,Malai khowa,NA,NA,NA,NA,NA,Khua,Khoya,NA,Thirattupal.,Khoa,NA,NA,Milk and Milk Products,vegetarian eggetarian fishetarian veg,MilkBasedOrDairy
M001,"Egg, poultry, whole, raw",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M002,"Egg, poultry, white, raw",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M003,"Egg, poultry, yolk, raw",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M004,"Egg, poultry, whole, boiled",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M005,"Egg, poultry, white, boiled",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M006,"Egg, poultry, yolk, boiled",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M007,"Egg, poultry, omlet",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M008,"Egg, country hen, whole, raw",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M009,"Egg, country hen, whole, boiled",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M010,"Egg, country hen, omlet",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M011,"Egg, duck, whole, boiled",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M012,"Egg, duck, whole, raw",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M013,"Egg, duck, whole, omlet",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M014,"Egg, quial, whole, raw",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
M015,"Egg, quial, whole, boiled",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egg and Egg Products,eggetarian fishetarian nonveg,Egg
